relative_result,run1_sha256,run2_sha256,packaged_sha256,all_equal
adjudication_change_history.csv,934a386daaefd5549d956e2015dce669cef284717a80387147d9c60877a07adc,934a386daaefd5549d956e2015dce669cef284717a80387147d9c60877a07adc,934a386daaefd5549d956e2015dce669cef284717a80387147d9c60877a07adc,True
claims/claim_comparison.csv,3fa942acd10082f0df1774af7c40a4e3eb203a4041bcd7981b5df8fbd6f66696,3fa942acd10082f0df1774af7c40a4e3eb203a4041bcd7981b5df8fbd6f66696,3fa942acd10082f0df1774af7c40a4e3eb203a4041bcd7981b5df8fbd6f66696,True
claims/claim_comparison.json,797c8f1996554d1be24b43c032d9109ac9fcc4796c65384bf3089c212a42a243,797c8f1996554d1be24b43c032d9109ac9fcc4796c65384bf3089c212a42a243,797c8f1996554d1be24b43c032d9109ac9fcc4796c65384bf3089c212a42a243,True
claims/claim_summary.json,9f6378778f3a15acc36da52be0a528f673b405a235ca22f333a9ee06599e65a1,9f6378778f3a15acc36da52be0a528f673b405a235ca22f333a9ee06599e65a1,9f6378778f3a15acc36da52be0a528f673b405a235ca22f333a9ee06599e65a1,True
criteria/clear_common_1320.csv,a24add48c08f2022300761e390c6e1256b279cf6761e8cf38ad09eeb169948fa,a24add48c08f2022300761e390c6e1256b279cf6761e8cf38ad09eeb169948fa,a24add48c08f2022300761e390c6e1256b279cf6761e8cf38ad09eeb169948fa,True
criteria/conservative_common_1320.csv,c45822a008f9f4bf2f53000987082a4a8cd5bd12e211d92ae73531c6d71f6f01,c45822a008f9f4bf2f53000987082a4a8cd5bd12e211d92ae73531c6d71f6f01,c45822a008f9f4bf2f53000987082a4a8cd5bd12e211d92ae73531c6d71f6f01,True
criteria/criteria_comparison.csv,10fa5c35c6dbd3f7879d25b11cb7585b31ead0ba1297d506a239ae0e554ac48b,10fa5c35c6dbd3f7879d25b11cb7585b31ead0ba1297d506a239ae0e554ac48b,10fa5c35c6dbd3f7879d25b11cb7585b31ead0ba1297d506a239ae0e554ac48b,True
criteria/criteria_reproduction.json,e9942fa97a8389d9cb8ae33938654f9db565ec37293ebd41ab2f9e5857b0509c,e9942fa97a8389d9cb8ae33938654f9db565ec37293ebd41ab2f9e5857b0509c,e9942fa97a8389d9cb8ae33938654f9db565ec37293ebd41ab2f9e5857b0509c,True
diagnostic/diagnostic_by_domain.csv,09287df49ec532f38b289459677f99c557248e4b71f57632f4f5c1e008c8f9ef,09287df49ec532f38b289459677f99c557248e4b71f57632f4f5c1e008c8f9ef,09287df49ec532f38b289459677f99c557248e4b71f57632f4f5c1e008c8f9ef,True
diagnostic/diagnostic_conditional_arithmetic.csv,a688bfc3d5a6c51cf43b910753c60fe982ff54cfd787ba80a6f407fb8465497c,a688bfc3d5a6c51cf43b910753c60fe982ff54cfd787ba80a6f407fb8465497c,a688bfc3d5a6c51cf43b910753c60fe982ff54cfd787ba80a6f407fb8465497c,True
