original_name,original_sha256,package_relative_path,role,historical_derivation_statement,public_copy_sha256,derivation
07_semantic_validation_ledger.csv,50f02e3442438664d0d369263169c8fafa55a46bfcb13fcf94688e8d30978b1a,data/core/07_semantic_validation_ledger.csv,"frozen AI judgments, common and selected separated by metric key",Byte-identical copy,1cb6a847887d91b903e047d37f32edd859a66908d1d5b9fb2e625e2e7e111ae7,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
actor_later_ledger.csv,cb8f2f3024b5564f28becd0e5fef91628ce61f16fa9d40c68662369b763b30db,data/supplemental_partial/actor_later_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,e81d6e12ef2632d73a7b6c31fdb9cd7111d5c385326dad7dc63e06ab46c23aae,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_semantics_ledger.csv,92953f032f09d9ff9c9225e49a117b72a2f65fde30e12b6664bfe0e0e55425cd,data/supplemental_partial/effect_semantics_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,46a98a8a9d96e2d40aa7e16a1542818c214007f1c8e9382114af3cd8011b86ac,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
inheritance_ledger.csv,63eb33683dfeea0ec5802c0bed6a298bfc298544074040402a08cee18ed9fc48,data/supplemental_partial/inheritance_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,6c51c48399e08335e0b050d8c80beef32237d142b1f99818fc66a4b839a39576,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
threshold_action_ledger.csv,69360f67ddb469dda7522d4ba0b9b1abd0ddb7d4958f254343f815327e2debce,data/supplemental_partial/threshold_action_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,bcf10161f1de0bce455982f0d7a4c74d4042c6882e79b6aec416d41b7d484f4f,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
narrative_ledger.csv,893248e7bde1fd52195449bc354ccc0855c21ff5719d982c8e6a75f21d21227e,data/supplemental_partial/narrative_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,cb9de25b97446dafe0679f8d1a4ef9376f16f412c7299245b7b2fa298cfd5d4b,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
narrative_facet_ledger.csv,80c3743758b39468cd31ad3f9f8008a8f265c6161640ab4f4e162c4ca7657b20,data/supplemental_partial/narrative_facet_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,6ea08b6ab219c128cd5337d86a0f309f0818155b93b614fa37f5b54d7dd118b8,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
effect_supplemental_ledger.csv,1c3cf44e20178c0986d4c145f0167e886c4d5fca3c144909adf2ed85f63dc648,data/supplemental_partial/effect_supplemental_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,c91abaac1f8f54a73809f6772c8a8efa961358f8f10b06c908d732834c7fc962,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
geometry_effect_ledger.csv,65f7520839ac5a898009365301cbd72b5d9e093846be0e7f817d189e698984ce,data/supplemental_partial/geometry_effect_ledger.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,b8002350bb463ca2a08fb11dd87cb53cc447dbf50e51547a91271b08933a243a,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
actor_weight_value_checks.csv,3bc3400edd3caf05ba889ef71fe9274f3311223428e5aad427979cc05e310b96,data/supplemental_partial/actor_weight_value_checks.csv,partial/targeted frozen audit records; scope retained,Byte-identical copy,ab8c2a9ea79bcf921f85309c4bbe69b269fb902f8d349624238b5f748980210d,Frozen labels unchanged; see public_copy_derivations.csv for locator-only transformations
