relative_path,bytes,sha256
.gitignore,83,5a5954100c96554348de6855e2a1a102a5c38d8a02b2711d343d2e04595141c8
ANALYSIS_VERSIONS.md,2386,869243accac67bfa012e022706d2f2c3e459748b56af71b29354aca70469e79f
annotations/effect_semantics.json,508920,4326f9cfdd4977ef691fe60bb10e9de48e8deda8bbdd5082eff2b84608d6897a
annotations/extra_calculation_specs.json,854,dbf977e5280f02190668b717b06a73abd78582bf665033ae911628c703aa9334
annotations/local_case_inputs.json,1707,2fce0cf8691c3542b6ba4a4ef4d46042d5eb0f9529cfd0d58954353b7474b928
annotations/narrative_anchors.json,548971,237ae07c33c096e21804715067fca7b216b4e8211821a6e994b74895df9e2d5f
annotations/parent_edges.csv,1348507,5ab9062e651e168f3174a94dceca01d5bccd976298d79e2e2fbd9f9a6f95b9a8
annotations/threshold_action_anchors.json,2167482,4bd97d868fdbe9582c5a01fd6ca912f8c9dc57c2372b8374efd04efaa1a11f34
code/recheck_criteria.py,6707,d89e1f8890daeb9e40d1c856833066868149d30cf5102fd4869df20213ef4794
code/repeat_screen.py,1508,8b6724ae073b5a02a394c4725bede24d449171d44345e93ccb06f06690f774b5
code/reproduce.py,18900,7f10028d5005d40a055dbd88e594c4c5f739d1e568c26250db9dba11dd75a9da
code/reproduce_diagnostic.py,8477,e98ebdbaa6669ae5681ba998e4ae5eeff9a83c41007e7b9e427d3d36f81f94be
code/reproduce_revision17.py,7319,cce9bd303a345764350ecdb2bdddb59207030d76b6c36e419588206d9a2cc120
data/adjudication/decisions.csv,20428,86bb3471f3a8180a15ac804e1b2d9b6c01804c54c9c33895cad41867ecf2ec92
data/adjudication/initial_screen_coverage.csv,11532,f048911af649f3003f1b559477ee9555f4d6428cdbd713b49e94b1399bc2a6d7
data/adjudication/patches.json,3376,eafb2df6eba59d7b0aed12162fcab96ffea4d5c9f4824a11631b71251c72b3d1
data/core/07_semantic_validation_ledger.csv,10801370,1cb6a847887d91b903e047d37f32edd859a66908d1d5b9fb2e625e2e7e111ae7
data/diagnostic/ai_review_40.csv,52859,c5041678eb850be3f6787d3d8c4d86929a834c2935a19087f6287f10dc80c575
data/diagnostic/AI_REVIEW_EXPLANATION.html,66537,2a03e8e18b6352e7597fcf55858c21c7d73b2da871c128abd3788efada1a9d65
data/diagnostic/AI_REVIEW_EXPLANATION.md,65732,cd22c63d4ed484598f0d1f4efbdbf0e4d6ad95c699311c40ea43f2f269c3fadc
data/diagnostic/conditional_arithmetic_inputs.csv,199,27f37a74a3727f8ed07ff369621bbd1f0e775df6aa57449c4673801c54d77c88
data/diagnostic/conditional_effect_sources.csv,1514,30d450c1bc935c44d23b8a84169f56f7e2553bba5350c0117749bac2cbaeeb5a
data/diagnostic/DATA_DICTIONARY.md,2273,464c62932fa102d501dff25cc2bd385b7c86909e537f72e96a1e62877288124f
data/diagnostic/existing_change_links.csv,556,ac5b023a0d2b9b0c35a806eb62c2299a926f400738a3c09d3500fde4ba6e53b3
data/diagnostic/membership.csv,2487,a462521abe6f59f0e3b7915672124fac93de3d14f82f1d67cb068299bba0f4bb
data/diagnostic/README.md,4429,19eb1929bdbdd76736950ed6a9be5a3ad10bdbed5c7d26c7e45b1820cc494b7d
data/diagnostic/review_scope.json,1806,4381a7d1175602447cdced7e736dcb1c3558c8399fafd248dfa232d6ad6834e3
data/diagnostic/u_reason_assignments.csv,9279,58b2eadb797e438d2e86108f3ecf196db8f56941ca1af1bc2adeba23e2061ed8
data/diagnostic_only/numeric_candidate_inventory.json,663,2b93a225901b3b8aad1779e8174c35e1a2cff563b24e4da3ec382004e2b335c4
data/diagnostic_only/pending_effect_findings.json,3637,b991b1a2629f0075229106b93e19d01cf08cff6c75f6c98887c1485c46effb3d
data/diagnostic_only/v1_arithmetic_subset.csv,3717931,0ff0c7901e28b633a719029fac2f51a9f4af12b8f24b12e8659f8e86baa6a011
data/diagnostic_only/v3_arithmetic_candidates_subset.csv,1423032,3b89159b92958b40e3039858529d1d934c0a7a4eb7066557c1ae6a62e5edf7d0
data/supplemental_partial/actor_later_360_scope.csv,49042,1255172be754bba6490118c59b5d7bc4a78b4b3d4efd9f680ad058e07f768857
data/supplemental_partial/actor_later_actor_branch_coverage.csv,3318351,d949b3ce6713d35ecc57fb3377a7e14c220f91b1914e5b5fd79c045a76b90da1
data/supplemental_partial/actor_later_ledger.csv,1256059,e81d6e12ef2632d73a7b6c31fdb9cd7111d5c385326dad7dc63e06ab46c23aae
data/supplemental_partial/actor_weight_value_checks.csv,20833,ab8c2a9ea79bcf921f85309c4bbe69b269fb902f8d349624238b5f748980210d
