run_id,source_file,sha256,repository_path,repository_commit,source_url,local_source_filename,raw_bytes_checked_this_closeout,path_basis,sha256_basis
CLA-01,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,40d5cae1d73766c272755651180a2bd68fc15bcba8e8b191d49ea919c615a314,runs/raw_logs/Claude_Opus_4/1. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/1.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-01.pdf,True,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-02,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,6c6f488169edae35c15cc3b485683c2d6e85c599b4f7ef1100d23589f0cb98c7,runs/raw_logs/Claude_Opus_4/2. Strategic Decision Modeling Framework.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/2.%20Strategic%20Decision%20Modeling%20Framework.pdf,CLA-02.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-03,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,b38d30d7290f6dd06dfdd11e9e91d690046307e35d589010665a82cf73f85c9c,runs/raw_logs/Claude_Opus_4/3. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/3.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-03.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-04,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,40ed9943db9822e0a9e63d8f4a7e9b9b6d53c0b5bc29ac3b092464de64a84acd,runs/raw_logs/Claude_Opus_4/4. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/4.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-04.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-05,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,f668bfe0fa63e29d37bd0bc5e77f2d848cdc7902d3b0e8a196771f492768310b,runs/raw_logs/Claude_Opus_4/5. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/5.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-05.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-06,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,bb6deff79a553a8604a9df6eab4e68e954b122f7cf24ee75aaa2431d914436ec,runs/raw_logs/Claude_Opus_4/6. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/6.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-06.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-07,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,bc1a14b993ed1b7b515df936c8c2c6766e8ad849c6beaf23f5a2c1300bd55ae3,runs/raw_logs/Claude_Opus_4/7. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/7.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-07.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-08,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,5b336e028ed2a632165b9753b8e14d1f6ac1b74fd84c15e74c5f80a91002f706,runs/raw_logs/Claude_Opus_4/8. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/8.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-08.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-09,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,3e463422829f39192ebbb24aa96f676d5bda251f4d225a45c204d53857f394fb,runs/raw_logs/Claude_Opus_4/9. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/9.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-09.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
CLA-10,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,5255cd8d71f9307c8ed99cef241c860e42aa46b41ac602bc69fd74491fc6da3e,runs/raw_logs/Claude_Opus_4/10. Strategic Decision Modeling Protocol.pdf,6867755772bfb74dd56c211df8c9a399607b5419,https://github.com/jin-do/LLM-PolMil-Simulation-CMC/blob/6867755772bfb74dd56c211df8c9a399607b5419/runs/raw_logs/Claude_Opus_4/10.%20Strategic%20Decision%20Modeling%20Protocol.pdf,CLA-10.pdf,False,Preserved filename mapped to connector-read repository tree; other raw PDFs not downloaded in this closeout,Preserved audit source index; independently recalculated only for two supplied PDFs
