run_id,turn,page_scope,actual_pairs_reviewed,actual_branches_identified,review_completed,uncertainty_code,scope_note
CLA-01,T1,1;2;3;4;5;6;7,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-01,T2,7;8;9;10;11;12,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-01,T3,12;13;14;15;16;17;18,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-01,T4,18;19;20;21;22;23,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-02,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-02,T2,8;9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-02,T3,15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-02,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-03,T1,1;2;3;4;5;6;7;8;9,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-03,T2,9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-03,T3,15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-03,T4,,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-04,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-04,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-04,T3,14;15;16;17;18;19;20,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-04,T4,20;21;22;23;24;25;26,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-05,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-05,T2,8;9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-05,T3,15;16;17;18;19;20;21;22,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-05,T4,22;23;24;25;26;27;28;29,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-06,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-06,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-06,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-06,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-07,T1,1;2;3;4;5;6;7;8;9,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-07,T2,9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-07,T3,15;16;17;18;19;20;21;22,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-07,T4,22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-08,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-08,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-08,T3,14;15;16;17;18;19;20,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-08,T4,20;21;22;23;24;25;26;27,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-09,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-09,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-09,T3,15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-09,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-10,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-10,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-10,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-10,T4,21;22;23;24;25;26;27,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-11,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-11,T2,8;9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-11,T3,15;16;17;18;19;20;21;22,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-11,T4,22;23;24;25;26;27;28;29,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-12,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-12,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-12,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-12,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-13,T1,1;2;3;4;5;6;7;8;9,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-13,T2,9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-13,T3,14;15;16;17;18;19;20,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-13,T4,20;21;22;23;24;25;26,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-14,T1,1;2;3;4;5;6;7;8;9;10;11,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-14,T2,11;12;13;14;15;16,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-14,T3,16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-14,T4,21;22;23;24;25;26,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-15,T1,1;2;3;4;5;6;7;8;9,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-15,T2,9;10;11;12;13;14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-15,T3,21;22;23;24;25;26;27;28;29;30;31,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-15,T4,31;32;33;34;35;36;37;38;39;40,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-16,T1,1;2;3;4;5;6;7,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-16,T2,7;8;9;10;11;12,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-16,T3,12;13;14;15;16;17;18,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-16,T4,18;19;20;21;22;23;24;25,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-17,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-17,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-17,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-17,T4,21;22;23;24;25;26;27,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-18,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-18,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-18,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-18,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-19,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-19,T2,8;9;10;11;12;13,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-19,T3,13;14;15;16;17;18,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-19,T4,18;19;20;21;22;23;24,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-20,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-20,T2,8;9;10;11;12;13;14,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-20,T3,14;15;16;17;18;19;20;21,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-20,T4,21;22;23;24;25;26;27;28,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-21,T1,1;2;3;4;5;6;7;8;9;10;11;12,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-21,T2,12;13;14;15;16;17,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-21,T3,17;18;19;20;21;22;23,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-21,T4,23;24;25;26;27;28;29,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-22,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-22,T2,8;9;10;11;12;13;14;15,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-22,T3,15;16;17;18;19;20;21;22,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-22,T4,22;23;24;25;26;27;28;29,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-23,T1,1;2;3;4;5;6;7,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-23,T2,7;8;9;10;11;12,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-23,T3,13;14;15;16;17;18;19,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-23,T4,19;20;21;22;23;24;25,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-24,T1,1;2;3;4;5;6;7;8;9,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-24,T2,9;10;11;12;13;14;15;16,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-24,T3,16;17;18;19;20;21;22;23,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-24,T4,23;24;25;26;27;28;29,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
CLA-25,T1,1;2;3;4;5;6;7;8,0,0,false,not_reviewed,페이지 범위만 확보; 실제 행동쌍 검토 미완료
